---------------------------------------
Begin Slurm Prolog: Mar-12-2025 10:24:04
Job ID:    2072822
User ID:   ssahoo61
Account:   coc
Job name:  GPUECNTraining
Partition: coc-gpu
QOS:       coc-ice
---------------------------------------

CondaError: Run 'conda init' before 'conda deactivate'

/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/gymnasium/wrappers/rendering.py:283: UserWarning: [33mWARN: Overwriting existing videos at /home/hice1/ssahoo61/Documents/exploration-critique-networks/runs/Hopper-v5__ddpg_ecn__1__1741789454/videos folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/torch/utils/_device.py:104: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:254.)
  return func(*args, **kwargs)
/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/torch/utils/_device.py:104: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  return func(*args, **kwargs)
/home/hice1/ssahoo61/.conda/envs/ecn/lib/python3.12/site-packages/torch/utils/_device.py:104: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
global_step=11257, episodic_return=14.25322395027222
global_step=11299, episodic_return=17.50403434528691
global_step=11314, episodic_return=10.796294309654524
global_step=11329, episodic_return=11.117356640395593
global_step=11348, episodic_return=14.754912397262606
global_step=11373, episodic_return=9.650825366754434
global_step=11390, episodic_return=13.803926419631962
global_step=11403, episodic_return=6.902916614749699
global_step=11424, episodic_return=7.724859287689063
global_step=11438, episodic_return=9.22366006244161
global_step=11454, episodic_return=10.03050446303793
global_step=11465, episodic_return=7.1995437544031
global_step=11478, episodic_return=9.407526833885848
global_step=11490, episodic_return=7.967723562623746
global_step=11515, episodic_return=19.67338018285971
global_step=11548, episodic_return=27.401958447121512
global_step=11570, episodic_return=9.36397457059712
global_step=11589, episodic_return=18.44862551800179
global_step=11603, episodic_return=9.17475811588132
global_step=11662, episodic_return=68.77684406554476
global_step=11676, episodic_return=10.729993651634626
global_step=11717, episodic_return=36.92538464227658
global_step=11755, episodic_return=13.782563132367756
global_step=11770, episodic_return=12.63276822126235
global_step=11782, episodic_return=5.00045177126161
global_step=11800, episodic_return=7.599456547474094
global_step=11821, episodic_return=16.849437644779375
global_step=11855, episodic_return=31.686643112982615
global_step=11875, episodic_return=13.040204115003911
global_step=11885, episodic_return=5.310152817616563
global_step=11906, episodic_return=10.096504318716326
global_step=11917, episodic_return=7.942645890636866
global_step=11956, episodic_return=32.46541035747661
global_step=11966, episodic_return=7.453625215875117
global_step=11989, episodic_return=15.966707196740646
global_step=12006, episodic_return=7.628335245387764
global_step=12019, episodic_return=10.66585540072789
global_step=12036, episodic_return=9.496565744510256
global_step=12048, episodic_return=9.20002390487283
global_step=12063, episodic_return=8.873575767753692
global_step=12076, episodic_return=10.606355619283017
global_step=12095, episodic_return=12.25811187436035
global_step=12112, episodic_return=14.097383771465305
global_step=12149, episodic_return=33.42719926943346
global_step=12178, episodic_return=16.15761744929311
global_step=12190, episodic_return=8.36305115252851
global_step=12217, episodic_return=22.95813369398172
global_step=12231, episodic_return=9.54246985189537
global_step=12242, episodic_return=7.274520872347722
global_step=12256, episodic_return=10.801240688559998
global_step=12271, episodic_return=11.040601198850428
global_step=12289, episodic_return=16.23360596861322
global_step=12326, episodic_return=12.63311931349502
global_step=12346, episodic_return=18.926500338464965
global_step=12384, episodic_return=45.36637925347931
global_step=12407, episodic_return=24.871281940994876
global_step=12430, episodic_return=9.378105002518382
global_step=12458, episodic_return=16.123482012082807
global_step=12475, episodic_return=14.093733404782746
global_step=12504, episodic_return=30.4233066422167
global_step=12526, episodic_return=19.17631761291412
global_step=12558, episodic_return=27.441135391973585
global_step=12575, episodic_return=13.746220994936627
global_step=12595, episodic_return=10.759943496601103
global_step=12613, episodic_return=12.053559676921248
global_step=12625, episodic_return=7.902529599243286
